Date,Name,CURRENT RATIO,PRICE EARNINGS RATIO,RETURN ON INVESTED CAPITAL,TOTAL DEBT TO TOTAL ASSET,TOTAL DEBT TO TOTAL EQUITY,RETURN ON ASSET RATIO
2005/07/31,TRGP ,1.2023,,,45.2207,148.1228,
2005/09/30,TRGP ,1.1828,,,38.1772,98.97,
2005/10/31,TRGP ,1.1092,,,36.1523,97.0706,
2005/12/30,TRGP ,1.3225,,8.9755,42.3016,120.3302,0.3972
2006/01/31,TRGP ,1.3225,50.1523,8.9755,42.3016,120.3302,0.3972
2006/03/31,TRGP ,1.1692,50.1523,10.9271,40.9032,117.7576,0.8499
2006/04/30,TRGP ,1.1692,51.5698,10.9271,40.9032,117.7576,0.8499
2006/06/30,TRGP ,1.1878,51.5698,12.4175,39.7388,100.3003,0.9543
2006/07/31,TRGP ,1.1878,53.9764,12.4175,39.7388,100.3003,0.9543
2006/09/29,TRGP ,1.3315,53.9764,11.1904,42.5949,106.7626,0.8679
2006/10/31,TRGP ,1.3315,36.2591,11.1904,42.5949,106.7626,0.8679
2006/12/29,TRGP ,1.2662,36.2591,9.9844,45.1114,122.6792,0.9228
2007/01/31,TRGP ,1.068,31.9213,7.2737,48.4878,141.1714,0.8527
2007/03/30,TRGP ,1.068,38.8694,7.2737,48.4878,141.1714,0.8527
2007/04/30,TRGP ,0.997,38.8694,6.3815,48.9929,139.8846,0.9472
2007/06/29,TRGP ,0.997,32.613,6.3815,48.9929,139.8846,0.9472
2007/07/31,TRGP ,1.1467,32.613,5.3482,50.4522,145.0061,1.0514
2007/09/28,TRGP ,1.1774,46.0338,5.7915,50.0917,145.2395,1.1638
2007/10/31,TRGP ,1.1646,55.0733,6.1627,49.4214,142.9398,1.1673
2007/12/31,TRGP ,1.0679,57.3046,7.811,47.7556,131.5007,1.2728
2008/01/31,TRGP ,1.1469,72.7354,9.157,48.167,135.8984,1.4094
2008/03/31,TRGP ,1.3119,61.1178,10.3178,48.3248,133.5092,1.5896
2008/04/30,TRGP ,1.0671,41.5722,10.2453,44.7106,113.6208,1.6365
2008/06/30,TRGP ,1.0862,35.4145,5.8979,42.8482,88.5327,0.8729
2008/07/31,TRGP ,1.1375,33.2245,5.1875,43.4071,89.2779,0.7591
2008/09/30,TRGP ,1.1611,20.1799,4.0457,44.2593,93.0861,0.5696
2008/10/31,TRGP ,1.0436,3.6215,0.1537,43.4709,92.1811,0.5886
2008/12/31,TRGP ,1.033,4.3302,-0.7996,38.0039,81.2844,0.3921
2009/01/31,TRGP ,0.9137,7.0184,-1.0919,36.7559,79.4133,0.104
2009/03/31,TRGP ,1.0294,9.2987,-1.2243,36.1983,77.953,-0.0733
2009/04/30,TRGP ,1.0294,10.7301,-1.2243,36.1983,77.953,-0.0733
2009/06/30,TRGP ,0.8623,10.7301,0.132,35.7853,77.8672,-1.4346
2009/07/31,TRGP ,0.5702,10.7301,-0.243,34.7757,74.5658,-2.2855
2009/09/30,TRGP ,0.6556,10.7301,0.4834,31.883,62.1643,-1.6583
2009/10/31,TRGP ,0.6556,10.7301,0.4834,31.883,62.1643,-1.6583
2009/12/31,TRGP ,0.7352,10.7301,-1.6516,34.9828,72.4923,-2.8099
2010/01/31,TRGP ,0.7352,10.7301,-1.6516,34.9828,72.4923,-2.8099
2010/03/31,TRGP ,0.7855,10.7301,1.9374,32.6856,67.4507,0.3947
2010/04/30,TRGP ,0.7855,115.8916,1.9374,32.6856,67.4507,0.3947
2010/06/30,TRGP ,0.8382,115.8916,2.8504,36.3596,74.6282,1.3799
2010/07/31,TRGP ,0.8382,266.9479,2.8504,36.3596,74.6282,1.3799
2010/09/30,TRGP ,0.7329,266.9479,2.7756,35.7301,74.4907,1.6771
2010/10/31,TRGP ,0.7329,153.4429,2.7756,35.7301,74.4907,1.6771
2010/12/31,TRGP ,0.6753,153.4429,4.8107,36.0243,79.4984,2.5609
2011/01/31,TRGP ,0.507,53.5326,1.6111,33.451,73.4271,0.0121
2011/03/31,TRGP ,0.507,177.1787,1.6111,33.451,73.4271,0.0121
2011/04/30,TRGP ,0.5785,177.1787,1.2851,42.6149,98.6326,-0.3706
2011/06/30,TRGP ,0.5785,3426.1279,1.2851,42.6149,98.6326,-0.3706
2011/07/31,TRGP ,0.7309,3426.1279,1.0797,38.2483,76.1499,-1.0568
2011/09/30,TRGP ,0.8842,568.3442,0.9233,40.1422,83.5457,-1.1429
2011/10/31,TRGP ,0.8856,332.8524,1.5319,41.8674,90.3195,-1.1702
2011/12/30,TRGP ,1.0153,14.5071,-10.8247,49.4197,118.9196,-11.3591
2012/01/31,TRGP ,0.9282,24.8735,-9.6951,49.1156,119.424,-10.5992
2012/03/30,TRGP ,1.046,16.9162,-8.2103,49.3026,121.4191,-9.7242
2012/04/30,TRGP ,0.8207,50.0052,-7.2174,49.2192,125.9372,-8.9586
2012/06/29,TRGP ,0.7982,33.5645,7.1263,47.1147,117.5476,2.0855
2012/07/31,TRGP ,0.6269,36.3578,7.3933,45.2608,113.4929,1.9473
2012/09/28,TRGP ,0.6949,30.444,8.2746,42.4894,110.36,2.613
2012/10/31,TRGP ,0.77,28.2108,6.2739,43.683,112.0606,0.4581
2012/12/31,TRGP ,0.653,37.8958,6.0136,47.3914,152.06,0.0827
2013/01/31,TRGP ,0.6863,17.8711,7.4999,48.6543,169.529,3.5972
2013/03/29,TRGP ,0.7359,14.793,6.8121,58.0586,237.9317,3.1892
2013/04/30,TRGP ,0.7359,14.1264,6.8121,58.0586,237.9317,3.1892
2013/06/28,TRGP ,0.7684,14.1264,11.064,59.1994,232.4154,6.877
2013/07/31,TRGP ,0.7684,14.0207,11.064,59.1994,232.4154,6.877
2000/04/30,TRMB ,4.0043,38.435,21.5422,14.6585,23.6944,18.8041
2000/06/30,TRMB ,0.9148,17.345,10.2683,51.3992,198.9277,6.7842
2000/07/31,TRMB ,0.9483,19.0476,9.0452,51.381,186.0504,4.2319
2000/09/29,TRMB ,0.8813,44.0407,9.0452,52.8717,223.1446,-1.7839
2000/10/31,TRMB ,0.8719,40.4651,9.0452,51.9659,207.0451,-6.0171
2000/12/29,TRMB ,0.7186,40.4651,9.0452,52.9376,206.7454,-3.9795
2001/01/31,TRMB ,1.1361,40.4651,9.0452,45.4381,137.603,-5.0393
2001/03/30,TRMB ,1.1361,40.4651,9.0452,45.4381,137.603,-5.0393
2001/04/30,TRMB ,1.1167,40.4651,9.0452,40.5553,109.3701,-2.6405
2001/06/29,TRMB ,1.1827,70.6215,9.0452,36.3437,87.9476,-1.2583
2001/07/31,TRMB ,1.238,70.6215,9.0452,34.3834,80.0051,-0.0697
2001/09/28,TRMB ,1.238,20.625,9.0452,34.3834,80.0051,-0.0697
2001/10/31,TRMB ,1.238,26.0208,9.0452,34.3834,80.0051,-0.0697
2001/12/31,TRMB ,1.5761,26.0208,2.2485,31.3649,68.7978,2.398
2002/01/31,TRMB ,1.5761,25.9452,2.2485,31.3649,68.7978,2.398
2002/03/29,TRMB ,1.6955,25.9452,9.8539,29.3988,61.7702,3.7887
2002/04/30,TRMB ,1.6955,24.9239,9.8539,29.3988,61.7702,3.7887
2002/06/28,TRMB ,2.1742,24.9239,10.8981,21.9585,39.0506,4.2852
